barangay,NDBI,nighttime_lights,omega_500,cooling_capacity,canyon_effect,microclimate_mod,dtr_proxy
Tuburan,-0.321706523762742,0.2751270733827144,-0.1687452908985613,-20.21831641183449,1.6436114335384922,-18.281895548111407,0.1243355994488339
Tumpagon,-0.3446486267877193,0.290631581361867,-0.2133807077666609,-13.738740915059829,1.066109113507962,-37.563388356884005,0.2909947562836557
Barangay 1,-0.1579004475868895,34.41037665359456,-0.1675092428922653,-10797.32257110948,3644.759516815771,1.2082517668797583,0.119720458984375
Barangay 7,-0.1367817698043533,33.400001525878906,-0.1675092428922653,-4920.632230675137,4208.333179534893,0.9207436423280736,0.119720458984375
Barangay 20,-0.1127679065577155,33.86588253694423,-0.1675092428922653,-16399.938207827166,8431.053286876026,0.3662094900463047,0.119720458984375
Barangay 25,-0.0839163162630291,28.9957112603009,-0.1675092428922653,-12917.00500765628,7700.320388949071,0.608135980426069,0.119720458984375
Barangay 29,-0.1085538151775369,39.10461353397427,-0.1675092428922653,-16233.513575070248,5875.715993104553,0.8195104977985861,0.119720458984375
Barangay 31,-0.1105394485959295,33.603771566037665,-0.1675092428922653,-13944.414224287566,8548.952905964625,0.7187866246366165,0.119720458984375
Barangay 35,-0.0995767587123543,36.58000183105469,-0.1675092428922653,-16092.660313699578,11421.52503011854,0.3782447431388506,0.119720458984375
Barangay 36,-0.1265134286911568,36.58000183105469,-0.1675092428922653,-15707.10232407276,8168.899414496127,0.8565340712004065,0.119720458984375
Barangay 37,-0.1159526202924504,36.58000183105469,-0.1675092428922653,-17466.48311548348,9761.74450566138,0.5586517489367,0.119720458984375
